GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.smarttransit.authservice.config,SecurityConfig,0,7,0,0,0,2,0,2,0,2
auth-service,com.smarttransit.authservice.config,SchedulingConfig,0,3,0,0,0,1,0,1,0,1
auth-service,com.smarttransit.authservice.config,WebClientConfig,0,5,0,0,0,2,0,2,0,2
auth-service,com.smarttransit.authservice,AuthServiceApplication,5,3,0,0,2,1,1,1,1,1
auth-service,com.smarttransit.authservice.model,Role,0,27,0,0,0,5,0,1,0,1
auth-service,com.smarttransit.authservice.model,Token,65,47,8,0,18,21,11,12,7,12
auth-service,com.smarttransit.authservice.model,User,61,39,0,0,24,17,12,10,12,10
auth-service,com.smarttransit.authservice.controller,AuthController,113,6,4,0,31,3,9,1,7,1
auth-service,com.smarttransit.authservice.dto,UserDto,106,0,0,0,43,0,22,0,22,0
auth-service,com.smarttransit.authservice.dto,RegisterRequest,46,0,0,0,19,0,10,0,10,0
auth-service,com.smarttransit.authservice.dto,TokenValidationRequest,16,0,0,0,7,0,4,0,4,0
auth-service,com.smarttransit.authservice.dto,ApiResponse,38,0,0,0,13,0,8,0,8,0
auth-service,com.smarttransit.authservice.dto,AuthResponse,49,15,0,0,17,5,10,2,10,2
auth-service,com.smarttransit.authservice.dto,TokenValidationResponse,19,27,0,0,9,10,5,5,5,5
auth-service,com.smarttransit.authservice.dto,RefreshTokenRequest,16,0,0,0,7,0,4,0,4,0
auth-service,com.smarttransit.authservice.dto,LoginRequest,26,0,0,0,11,0,6,0,6,0
auth-service,com.smarttransit.authservice.dto,RefreshTokenResponse,26,0,0,0,11,0,6,0,6,0
auth-service,com.smarttransit.authservice.dto,LoginResponse,26,30,0,0,12,11,7,5,7,5
auth-service,com.smarttransit.authservice.service,AuthService,95,193,3,5,19,40,8,9,6,7
auth-service,com.smarttransit.authservice.service,TokenService,234,358,32,20,50,98,36,18,12,16
auth-service,com.smarttransit.authservice.client,UserServiceClient,145,7,6,0,39,3,8,1,5,1
auth-service,com.smarttransit.authservice.enums,TokenType,0,15,0,0,0,3,0,1,0,1
auth-service,com.smarttransit.authservice.enums,LoginStatus,21,0,0,0,4,0,1,0,1,0
